email,label
"Subject: You have been selected for a reward 

Dear Customer,

You must confirm your identity to avoid service interruption.

Claim your reward before the offer expires.

This offer expires today.

http://payment-confirm.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Thank you for your help

Hi,

The deadline has been moved to next Friday.

See you tomorrow,
Alex",ham
"Subject: Congratulations! You have won a prize ACT NOW!

Dear Account Holder,

We detected a suspicious login attempt.

Log in immediately to secure your account.

You must respond immediately.

http://payment-confirm.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Meeting notes

Hello,

The team has completed the assigned tasks for this week.

Best regards,
Michael",ham
"Subject: Documents for review

Hello,

Please let me know if anything needs to be changed.

Thank you,
Alex",ham
"Subject: Project progress update

Hi Team,

Please let me know if anything needs to be changed.

Thank you,
Sarah",ham
"Subject: Lunch tomorrow?

Hi Rahul,

Could you please review the presentation when you have time?

Regards,
Daniel",ham
"Subject: Meeting notes

Hi John,

Just confirming that our meeting is scheduled for tomorrow.

See you tomorrow,
Rahul",ham
"Subject: Important security alert CLICK NOW!

Important Notice!

You have won a special prize in our customer reward program.

Follow the link below to receive your payment.

You must respond immediately.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Updated presentation

Good morning,

The deadline has been moved to next Friday.

Best,
John",ham
"Subject: Project meeting tomorrow

Hello everyone,

Here are the notes from today's discussion.

Thank you,
Daniel",ham
"Subject: Meeting notes

Hi Rahul,

The deadline has been moved to next Friday.

Thanks,
Rahul",ham
"Subject: Schedule for next week

Hello,

Thanks for your feedback on the project.

Thanks,
Michael",ham
"Subject: Conference schedule

Hello everyone,

I wanted to share a quick update regarding the project.

Best regards,
Rahul",ham
"Subject: Your subscription has expired IMPORTANT!

Dear Customer,

Your account has been selected for a limited-time promotion.

Log in immediately to secure your account.

Act now before it is too late.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Updated presentation

Hi,

Here are the notes from today's discussion.

Best,
Michael",ham
"Subject: Schedule for next week

Dear Team,

The deadline has been moved to next Friday.

Regards,
John",ham
"Subject: Lunch tomorrow?

Hi,

Just confirming that our meeting is scheduled for tomorrow.

Thanks,
Michael",ham
"Subject: Project meeting tomorrow

Hi John,

I have completed the changes we discussed yesterday.

Best,
Rahul",ham
"Subject: Conference schedule

Hello,

Just confirming that our meeting is scheduled for tomorrow.

Best regards,
John",ham
"Subject: College project discussion

Hi Team,

I wanted to share a quick update regarding the project.

Best regards,
Emily",ham
"Subject: Assignment submission reminder

Hello everyone,

Thanks for your feedback on the project.

Thanks,
Priya",ham
"Subject: Your subscription has expired 

Congratulations!

Our system shows that your account requires immediate verification.

Confirm your information immediately.

You must respond immediately.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Security verification required IMPORTANT!

Important Notice!

We detected a suspicious login attempt.

Confirm your information immediately.

This is your final notification.

http://claim-reward.example.com/login

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Schedule for next week

Hi,

Could you please review the presentation when you have time?

See you tomorrow,
Rahul",ham
"Subject: Claim your lottery winnings 

Congratulations!

Our system shows that your account requires immediate verification.

Confirm your details to release the reward.

The offer is available for a limited time only.

http://payment-confirm.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Limited time offer - act now CLICK NOW!

Dear Winner,

Your refund is ready and waiting to be claimed.

Confirm your information immediately.

This offer expires today.

http://claim-reward.example.com/login

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Documents for review

Hello,

I wanted to share a quick update regarding the project.

See you tomorrow,
David",ham
"Subject: Documents for review

Hi Team,

Please let me know if anything needs to be changed.

Thanks,
Emily",ham
"Subject: Project progress update

Hello,

I have completed the changes we discussed yesterday.

Thank you,
Daniel",ham
"Subject: Congratulations! You have won a prize URGENT!

Attention User,

You must confirm your identity to avoid service interruption.

Click here to prevent your account from being suspended.

You must respond immediately.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Claim your exclusive reward now 

Dear Customer,

Our system shows that your account requires immediate verification.

Complete the verification process now.

Act now before it is too late.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Project progress update

Good morning,

Could you please review the presentation when you have time?

See you tomorrow,
John",ham
"Subject: Claim your lottery winnings FINAL NOTICE!

Attention User,

We detected a suspicious login attempt.

Claim your reward before the offer expires.

Act now before it is too late.

http://claim-reward.example.com/login

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Verify your account immediately URGENT!

Dear Customer,

You have won a special prize in our customer reward program.

Confirm your information immediately.

You must respond immediately.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Your refund is waiting 

Congratulations!

Your refund is ready and waiting to be claimed.

Follow the link below to receive your payment.

This is your final notification.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Class timetable

Dear Team,

The deadline has been moved to next Friday.

Have a great day,
John",ham
"Subject: Security verification required 

Dear Customer,

Our system shows that your account requires immediate verification.

Complete the verification process now.

Your account may be closed if you do not verify it.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Project progress update

Hi,

Just confirming that our meeting is scheduled for tomorrow.

Thank you,
Michael",ham
"Subject: Assignment submission reminder

Hello,

Please let me know if anything needs to be changed.

Have a great day,
Sam",ham
"Subject: Your refund is waiting ACT NOW!

Important Notice!

You must confirm your identity to avoid service interruption.

Claim your reward before the offer expires.

Act now before it is too late.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Unusual login detected 

Attention User,

Your account has been selected for a limited-time promotion.

Confirm your details to release the reward.

You must respond immediately.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Verify your account immediately ACT NOW!

Dear Valued Customer,

Your refund is ready and waiting to be claimed.

Claim your reward before the offer expires.

Your account may be closed if you do not verify it.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Team meeting at 10 AM

Hi,

Please let me know if anything needs to be changed.

Regards,
Rahul",ham
"Subject: Weekly team update

Hi John,

The team has completed the assigned tasks for this week.

Regards,
Michael",ham
"Subject: You've won $1,000,000 

Dear Customer,

We detected a suspicious login attempt.

Click here to prevent your account from being suspended.

The offer is available for a limited time only.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Claim your lottery winnings URGENT!

Dear Account Holder,

You are eligible for a special cash reward.

Confirm your details to release the reward.

Act now before it is too late.

http://claim-reward.example.com/login

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Weekly team update

Good morning,

Please let me know if anything needs to be changed.

Thank you,
Sam",ham
"Subject: Documents for review

Hi John,

Here are the notes from today's discussion.

Regards,
Michael",ham
"Subject: Event details

Hi Rahul,

I wanted to check whether you are available for a meeting.

Thanks,
Sarah",ham
"Subject: Conference schedule

Hello everyone,

I wanted to share a quick update regarding the project.

Thank you,
Emily",ham
"Subject: Vacation plans

Hello,

The team has completed the assigned tasks for this week.

Thank you,
Daniel",ham
"Subject: Invoice for last month

Hi Team,

I wanted to check whether you are available for a meeting.

Best regards,
David",ham
"Subject: Exclusive cash reward waiting for you CLICK NOW!

Congratulations!

We detected unusual activity on your account.

Claim your reward before the offer expires.

Act now before it is too late.

http://secure-account.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Your payment has failed IMPORTANT!

Attention User,

Your refund is ready and waiting to be claimed.

Confirm your details to release the reward.

Your account may be closed if you do not verify it.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Urgent: Your account requires verification URGENT!

Dear Valued Customer,

You must confirm your identity to avoid service interruption.

Verify your account within 24 hours.

Failure to act within 24 hours may result in permanent suspension.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Lunch tomorrow?

Dear Team,

Just confirming that our meeting is scheduled for tomorrow.

Thank you,
Alex",ham
"Subject: Verify your account immediately ACT NOW!

Dear Account Holder,

Your refund is ready and waiting to be claimed.

Verify your account within 24 hours.

You must respond immediately.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Team meeting at 10 AM

Hi Team,

I wanted to share a quick update regarding the project.

Best,
Priya",ham
"Subject: Class timetable

Hello,

I have completed the changes we discussed yesterday.

Best,
David",ham
"Subject: Schedule for next week

Hi John,

I wanted to check whether you are available for a meeting.

Regards,
Daniel",ham
"Subject: Urgent: Your account requires verification FINAL NOTICE!

Congratulations!

You have been selected to receive an exclusive reward.

Click the link below to verify your account.

This offer expires today.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Thank you for your help

Hi,

Here are the notes from today's discussion.

Thank you,
John",ham
"Subject: Security verification required URGENT!

Dear Account Holder,

Your refund is ready and waiting to be claimed.

Confirm your information immediately.

This offer expires today.

http://payment-confirm.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Team meeting at 10 AM

Hi,

Here are the notes from today's discussion.

Thanks,
Emily",ham
"Subject: Limited time offer - act now URGENT!

Dear Customer,

You have won a special prize in our customer reward program.

Click here to prevent your account from being suspended.

This offer expires today.

http://claim-reward.example.com/login

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Weekly team update

Hi,

The team has completed the assigned tasks for this week.

Regards,
Emily",ham
"Subject: Conference schedule

Dear Team,

Please find the updated document attached for your review.

Regards,
Emily",ham
"Subject: You've won $1,000,000 URGENT!

Dear Valued Customer,

Your refund is ready and waiting to be claimed.

Complete the verification process now.

You must respond immediately.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Unusual login detected FINAL NOTICE!

Dear Valued Customer,

You must confirm your identity to avoid service interruption.

Click the link below to verify your account.

Your account may be closed if you do not verify it.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Exclusive cash reward waiting for you FINAL NOTICE!

Congratulations!

We detected unusual activity on your account.

Click here to prevent your account from being suspended.

Failure to act within 24 hours may result in permanent suspension.

http://account-security.example.com/update

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Verify your account immediately 

Dear Winner,

Your refund is ready and waiting to be claimed.

Click here to prevent your account from being suspended.

The offer is available for a limited time only.

http://secure-account.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Immediate action required CLICK NOW!

Important Notice!

You must confirm your identity to avoid service interruption.

Claim your reward before the offer expires.

Failure to act within 24 hours may result in permanent suspension.

http://winner-claim.example.com/reward

Please do not ignore this message.

Regards,
Customer Security Department",spam
"Subject: Team meeting at 10 AM

Hi John,

Please find the updated document attached for your review.

Regards,
Rahul",ham
"Subject: Lunch tomorrow?

Hi Team,

Please let me know if anything needs to be changed.

See you tomorrow,
Rahul",ham
"Subject: Class timetable

Hi,

Could you please review the presentation when you have time?

Thank you,
Rahul",ham
"Subject: Claim your lottery winnings IMPORTANT!

Attention User,

Your refund is ready and waiting to be claimed.

Claim your reward before the offer expires.

You must respond immediately.

http://secure-account.example.com/verify

Please do not ignore this message.

Regards,
Customer Security Department",spam
